language,total_interveners,avg_distance,pct_head_right,top_intervener,pct_noun,pct_verb,pct_det,word_order
Arabic,686958,37.2,7.89,NOUN,31.5,4.33,2.38,VSO
Spanish,886298,16.62,22.66,ADP,13.46,3.5,19.35,SVO
Chinese,282394,14.64,53.12,NOUN,28.68,10.61,1.02,SVO
Hindi,680436,13.25,65.93,ADP,23.07,4.61,2.07,SOV
English,455203,12.99,31.1,NOUN,15.46,5.13,11.09,SVO
German,691166,12.57,44.46,DET,15.94,1.49,17.82,SVO
Japanese,293324,12.51,84.05,ADP,26.39,6.22,0.32,SOV
Russian,913822,12.2,34.29,NOUN,21.73,5.65,4.9,SVO
Finnish,316306,12.19,30.16,NOUN,27.17,6.88,0.0,SVO
Turkish,176762,11.06,73.55,NOUN,31.57,11.13,5.28,SOV
Basque,128729,8.63,43.25,NOUN,25.31,8.48,4.38,SOV
Ancient_Greek,310680,8.57,51.74,DET,15.84,7.6,23.16,SOV
